dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
icij-leak,LRA,light,complex,1,regular01,D1,100,15.397202,18.442272,386.996094
icij-leak,LRA,light,complex,1,regular01,D2,100,14.412612,16.452625,380.660156
icij-leak,LRA,light,complex,1,regular01,D3,100,14.885693,17.522679,379.699219
icij-leak,LRA,light,complex,2,regular02,D1,100,13.622822,15.702565,380.121094
icij-leak,LRA,light,complex,2,regular02,D2,100,13.460992,15.689457,379.566406
icij-leak,LRA,light,complex,2,regular02,D3,100,15.219292,17.698102,379.347656
icij-leak,LRA,light,complex,3,regular03,D1,100,15.936906,17.225727,380.554688
icij-leak,LRA,light,complex,3,regular03,D2,100,13.397553,16.011932,380.093750
icij-leak,LRA,light,complex,3,regular03,D3,100,17.712186,19.493849,379.820312
icij-leak,LRA,light,complex,4,regular04,D1,100,13.550296,16.098199,380.308594
icij-leak,LRA,light,complex,4,regular04,D2,100,13.339227,14.762340,379.859375
icij-leak,LRA,light,complex,4,regular04,D3,100,14.636252,18.277282,379.710938
icij-leak,LRA,light,complex,5,regular05,D1,100,15.043632,17.496168,380.667969
icij-leak,LRA,light,complex,5,regular05,D2,100,15.633916,18.056792,380.324219
icij-leak,LRA,light,complex,5,regular05,D3,100,14.291572,18.165985,379.546875
icij-leak,LRA,light,complex,6,regular06,D1,100,13.720878,16.476041,379.917969
icij-leak,LRA,light,complex,6,regular06,D2,100,12.967287,16.825579,379.406250
icij-leak,LRA,light,complex,6,regular06,D3,100,12.568022,16.659742,378.988281
icij-leak,LRA,light,complex,7,regular07,D1,100,15.381082,18.572353,394.906250
icij-leak,LRA,light,complex,7,regular07,D2,100,13.655587,17.315255,380.359375
icij-leak,LRA,light,complex,7,regular07,D3,100,13.336597,16.967596,379.726562
icij-leak,LRA,light,complex,8,regular08,D1,100,12.990728,15.352210,380.230469
icij-leak,LRA,light,complex,8,regular08,D2,100,13.657726,17.167402,380.558594
icij-leak,LRA,light,complex,8,regular08,D3,100,15.617791,17.236207,379.390625
icij-leak,LRA,light,complex,9,regular09,D1,100,13.693457,16.493539,380.457031
icij-leak,LRA,light,complex,9,regular09,D2,100,13.911157,17.167401,380.007812
