dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
ldbc01,LRA,light,complex,1,regular01,D1,100,2.259206,3.397542,303.019531
ldbc01,LRA,light,complex,1,regular01,D2,100,2.202676,5.086400,316.066406
ldbc01,LRA,light,complex,1,regular01,D3,100,2.164831,3.262189,301.683594
ldbc01,LRA,light,complex,2,regular02,D1,100,1.903271,3.897694,303.332031
ldbc01,LRA,light,complex,2,regular02,D2,100,1.917521,3.034616,301.945312
ldbc01,LRA,light,complex,2,regular02,D3,100,1.807411,2.909033,301.062500
ldbc01,LRA,light,complex,3,regular03,D1,100,2.051241,3.183934,302.578125
ldbc01,LRA,light,complex,3,regular03,D2,100,2.094705,3.216127,302.039062
ldbc01,LRA,light,complex,3,regular03,D3,100,1.964565,10.523313,318.105469
ldbc01,LRA,light,complex,4,regular04,D1,100,1.989100,3.136887,301.757812
ldbc01,LRA,light,complex,4,regular04,D2,100,1.963016,3.108266,301.812500
ldbc01,LRA,light,complex,4,regular04,D3,100,2.023920,3.101560,301.871094
ldbc01,LRA,light,complex,5,regular05,D1,100,2.129500,103.821468,322.640625
ldbc01,LRA,light,complex,5,regular05,D2,100,2.125566,3.300699,302.757812
ldbc01,LRA,light,complex,5,regular05,D3,100,1.969696,3.100446,301.554688
ldbc01,LRA,light,complex,6,regular06,D1,100,2.024031,110.415685,321.968750
ldbc01,LRA,light,complex,6,regular06,D2,100,1.896380,112.922867,318.761719
ldbc01,LRA,light,complex,6,regular06,D3,100,1.827420,3.002343,302.972656
ldbc01,LRA,light,complex,7,regular07,D1,100,2.140086,3.270040,302.390625
ldbc01,LRA,light,complex,7,regular07,D2,100,2.183991,8.089066,316.152344
ldbc01,LRA,light,complex,7,regular07,D3,100,2.069376,9.861137,318.378906
ldbc01,LRA,light,complex,8,regular08,D1,100,2.129821,7.650898,318.558594
ldbc01,LRA,light,complex,8,regular08,D2,100,2.087496,3.201439,302.457031
ldbc01,LRA,light,complex,8,regular08,D3,100,2.178655,3.191202,301.929688
ldbc01,LRA,light,complex,9,regular09,D1,100,2.123045,79.075129,320.175781
ldbc01,LRA,light,complex,9,regular09,D2,100,2.076855,3.212972,302.152344
ldbc01,LRA,light,complex,9,regular09,D3,100,1.983595,8.323967,326.335938
ldbc01,LRA,light,complex,10,regular10,D1,100,2.214106,3.284550,302.609375
ldbc01,LRA,light,complex,10,regular10,D2,100,2.112796,3.229191,302.687500
ldbc01,LRA,light,complex,10,regular10,D3,100,2.013301,5.001171,317.398438
ldbc01,LRA,light,complex,11,regular11,D1,100,2.056131,16.286716,318.792969
ldbc01,LRA,light,complex,11,regular11,D2,100,2.033196,3.375597,315.445312
ldbc01,LRA,light,complex,11,regular11,D3,100,2.072951,3.105936,301.503906
ldbc01,LRA,light,complex,12,regular12,D1,100,2.085551,3.239555,302.371094
ldbc01,LRA,light,complex,12,regular12,D2,100,2.084166,57.432139,317.656250
ldbc01,LRA,light,complex,12,regular12,D3,100,2.000881,3.069823,301.394531
ldbc01,LRA,mid,complex,1,regular01,D1,100,2.197621,3.299617,302.929688
ldbc01,LRA,mid,complex,1,regular01,D2,100,2.299051,3.415066,302.917969
ldbc01,LRA,mid,complex,1,regular01,D3,100,2.060440,3.214662,317.820312
ldbc01,LRA,mid,complex,2,regular02,D1,100,2.111511,3.172976,302.199219
ldbc01,LRA,mid,complex,2,regular02,D2,100,1.864086,2.987162,301.984375
ldbc01,LRA,mid,complex,2,regular02,D3,100,1.882351,3.010872,301.558594
ldbc01,LRA,mid,complex,3,regular03,D1,100,2.213121,3.575893,318.886719
ldbc01,LRA,mid,complex,3,regular03,D2,100,2.109861,3.270456,302.558594
ldbc01,LRA,mid,complex,3,regular03,D3,100,2.095231,3.177079,302.023438
ldbc01,LRA,mid,complex,4,regular04,D1,100,2.070121,3.210132,302.144531
ldbc01,LRA,mid,complex,4,regular04,D2,100,2.045276,3.255488,317.414062
ldbc01,LRA,mid,complex,4,regular04,D3,100,2.007156,3.232624,317.746094
ldbc01,LRA,mid,complex,5,regular05,D1,100,2.201471,3.330817,302.582031
ldbc01,LRA,mid,complex,5,regular05,D2,100,2.135441,3.296898,317.417969
ldbc01,LRA,mid,complex,5,regular05,D3,100,1.983220,3.110592,301.878906
ldbc01,LRA,mid,complex,6,regular06,D1,100,1.959411,3.088645,301.484375
ldbc01,LRA,mid,complex,6,regular06,D2,100,1.930116,3.031978,302.066406
ldbc01,LRA,mid,complex,6,regular06,D3,100,1.912866,3.129521,317.679688
ldbc01,LRA,mid,complex,7,regular07,D1,100,2.266141,3.318411,302.804688
ldbc01,LRA,mid,complex,7,regular07,D2,100,2.147896,3.282455,302.621094
ldbc01,LRA,mid,complex,7,regular07,D3,100,2.052565,3.229357,317.890625
ldbc01,LRA,mid,complex,8,regular08,D1,100,2.139376,3.252370,302.132812
ldbc01,LRA,mid,complex,8,regular08,D2,100,2.123041,3.259033,302.445312
ldbc01,LRA,mid,complex,8,regular08,D3,100,2.135691,3.253373,317.437500
ldbc01,LRA,mid,complex,9,regular09,D1,100,2.109655,3.217159,302.449219
ldbc01,LRA,mid,complex,9,regular09,D2,100,2.106960,3.290283,317.687500
ldbc01,LRA,mid,complex,9,regular09,D3,100,1.982691,3.125363,302.003906
ldbc01,LRA,mid,complex,10,regular10,D1,100,2.079071,3.212502,302.605469
ldbc01,LRA,mid,complex,10,regular10,D2,100,2.070236,3.188549,302.679688
ldbc01,LRA,mid,complex,10,regular10,D3,100,1.973471,3.147587,317.714844
ldbc01,LRA,mid,complex,11,regular11,D1,100,2.006031,3.130809,302.191406
ldbc01,LRA,mid,complex,11,regular11,D2,100,1.993961,3.197892,317.472656
ldbc01,LRA,mid,complex,11,regular11,D3,100,2.020661,3.086064,302.046875
ldbc01,LRA,mid,complex,12,regular12,D1,100,2.042646,3.179021,302.152344
ldbc01,LRA,mid,complex,12,regular12,D2,100,2.125936,3.210715,302.289062
ldbc01,LRA,mid,complex,12,regular12,D3,100,2.002610,3.125920,301.843750
ldbc01,LRA,heavy,complex,1,regular01,D1,100,2.260261,3.418608,302.582031
ldbc01,LRA,heavy,complex,1,regular01,D2,100,2.209976,3.344375,302.921875
ldbc01,LRA,heavy,complex,1,regular01,D3,100,2.047161,3.139950,301.968750
ldbc01,LRA,heavy,complex,2,regular02,D1,100,1.938125,3.072857,301.742188
ldbc01,LRA,heavy,complex,2,regular02,D2,100,1.912645,3.058431,301.855469
ldbc01,LRA,heavy,complex,2,regular02,D3,100,1.830636,2.937057,301.636719
ldbc01,LRA,heavy,complex,3,regular03,D1,100,2.295651,4.419138,327.937500
ldbc01,LRA,heavy,complex,3,regular03,D2,100,2.101741,3.248654,302.136719
ldbc01,LRA,heavy,complex,3,regular03,D3,100,1.971936,3.097161,301.656250
ldbc01,LRA,heavy,complex,4,regular04,D1,100,2.101216,3.171234,302.351562
ldbc01,LRA,heavy,complex,4,regular04,D2,100,2.028186,3.118805,301.773438
ldbc01,LRA,heavy,complex,4,regular04,D3,100,1.984155,4.170622,318.148438
ldbc01,LRA,heavy,complex,5,regular05,D1,100,2.159896,3.288257,302.535156
ldbc01,LRA,heavy,complex,5,regular05,D2,100,2.128470,3.290676,302.261719
ldbc01,LRA,heavy,complex,5,regular05,D3,100,1.969961,3.092711,302.117188
ldbc01,LRA,heavy,complex,6,regular06,D1,100,2.124175,3.419018,318.500000
ldbc01,LRA,heavy,complex,6,regular06,D2,100,1.940821,3.065748,301.832031
ldbc01,LRA,heavy,complex,6,regular06,D3,100,1.921915,3.184729,317.394531
ldbc01,LRA,heavy,complex,7,regular07,D1,100,2.132261,3.262430,302.308594
ldbc01,LRA,heavy,complex,7,regular07,D2,100,2.168620,3.366788,306.253906
ldbc01,LRA,heavy,complex,7,regular07,D3,100,2.117061,3.186441,302.015625
ldbc01,LRA,heavy,complex,8,regular08,D1,100,2.091570,3.260401,302.500000
ldbc01,LRA,heavy,complex,8,regular08,D2,100,2.242326,3.317488,302.199219
ldbc01,LRA,heavy,complex,8,regular08,D3,100,2.090236,3.816144,317.933594
ldbc01,LRA,heavy,complex,9,regular09,D1,100,2.150966,3.249881,302.550781
ldbc01,LRA,heavy,complex,9,regular09,D2,100,2.117401,3.302382,305.527344
ldbc01,LRA,heavy,complex,9,regular09,D3,100,2.077466,3.210824,317.492188
ldbc01,LRA,heavy,complex,10,regular10,D1,100,2.178666,3.298391,302.277344
ldbc01,LRA,heavy,complex,10,regular10,D2,100,2.129846,3.254652,302.558594
ldbc01,LRA,heavy,complex,10,regular10,D3,100,1.980125,3.128542,302.000000
