dataset,arithmetic,variant,query_profile,template_id,template_name,constraint_name,runs,median_ms,mean_ms,max_memory_mb
telecom,LRA,light,complex,1,regular01,D1,100,24.213235,534.335687,620.187500
telecom,LRA,light,complex,1,regular01,D2,100,25.715937,3550.535344,837.195312
telecom,LRA,light,complex,1,regular01,D3,100,15.123311,44.350306,578.980469
telecom,LRA,light,complex,2,regular02,D1,100,16.465486,337.602003,619.847656
telecom,LRA,light,complex,2,regular02,D2,100,26.870997,2187.210323,766.203125
telecom,LRA,light,complex,2,regular02,D3,100,14.459833,40.974743,578.046875
telecom,LRA,light,complex,3,regular03,D1,100,13.682859,3818.967104,882.902344
telecom,LRA,light,complex,3,regular03,D2,100,14.094939,5138.813795,999.527344
telecom,LRA,light,complex,3,regular03,D3,100,2.222682,3160.602323,904.585938
telecom,LRA,light,complex,4,regular04,D1,100,13.901650,4368.525806,976.316406
telecom,LRA,light,complex,4,regular04,D2,100,2.445286,3378.451806,920.132812
telecom,LRA,light,complex,4,regular04,D3,100,3.297072,2459.373847,839.093750
telecom,LRA,light,complex,5,regular05,D1,100,13.310399,484.173124,646.523438
telecom,LRA,light,complex,5,regular05,D2,100,13.707161,3405.169489,930.234375
telecom,LRA,light,complex,5,regular05,D3,100,4.357278,27.124243,577.343750
telecom,LRA,light,complex,6,regular06,D1,100,13.183451,370.637465,631.621094
telecom,LRA,light,complex,6,regular06,D2,100,13.075712,2063.689128,794.359375
telecom,LRA,light,complex,6,regular06,D3,100,2.086479,24.146910,576.371094
telecom,LRA,light,complex,7,regular07,D1,100,13.927640,346.400493,622.000000
telecom,LRA,light,complex,7,regular07,D2,100,2.524225,2065.105046,832.808594
telecom,LRA,light,complex,7,regular07,D3,100,2.339234,29.942086,569.894531
telecom,LRA,light,complex,8,regular08,D1,100,2.722325,3948.379701,966.269531
telecom,LRA,light,complex,8,regular08,D2,100,13.511655,5139.116116,1060.800781
telecom,LRA,light,complex,8,regular08,D3,100,4.307582,1786.078915,797.480469
telecom,LRA,light,complex,9,regular09,D1,100,11.453077,386.540909,637.890625
telecom,LRA,light,complex,9,regular09,D2,100,4.921158,2868.643325,899.730469
telecom,LRA,light,complex,9,regular09,D3,100,5.024323,27.826950,577.515625
telecom,LRA,light,complex,10,regular10,D1,100,4.411973,185.504381,607.574219
telecom,LRA,light,complex,10,regular10,D2,100,185.784106,3328.321547,947.679688
telecom,LRA,light,complex,10,regular10,D3,100,13.600571,32.157088,578.222656
telecom,LRA,light,complex,11,regular11,D1,100,4.689038,386.777948,638.417969
telecom,LRA,light,complex,11,regular11,D2,100,4.292849,2460.902163,882.074219
telecom,LRA,light,complex,11,regular11,D3,100,13.922363,33.196284,578.503906
telecom,LRA,light,complex,12,regular12,D1,100,13.630342,4759.269035,1022.472656
telecom,LRA,light,complex,12,regular12,D2,100,13.171340,4808.575600,1043.191406
telecom,LRA,light,complex,12,regular12,D3,100,2.192545,1652.263107,809.667969
telecom,LRA,mid,complex,1,regular01,D1,100,5.131075,375.921658,641.996094
telecom,LRA,mid,complex,1,regular01,D2,100,2.547500,1251.386642,745.507812
telecom,LRA,mid,complex,1,regular01,D3,100,4.905095,25.583535,578.566406
telecom,LRA,mid,complex,2,regular02,D1,100,2.747925,490.388783,649.902344
telecom,LRA,mid,complex,2,regular02,D2,100,13.941685,1578.899467,790.175781
telecom,LRA,mid,complex,2,regular02,D3,100,2.229455,23.604861,578.332031
telecom,LRA,mid,complex,3,regular03,D1,100,4.619475,72.960052,595.257812
telecom,LRA,mid,complex,3,regular03,D2,100,2.365755,42.613633,536.500000
telecom,LRA,mid,complex,3,regular03,D3,100,3.461410,24.391081,608.382812
telecom,LRA,mid,complex,4,regular04,D1,100,2.455179,2828.787248,892.125000
telecom,LRA,mid,complex,4,regular04,D2,100,2.528849,1645.680506,744.078125
telecom,LRA,mid,complex,4,regular04,D3,100,4.414774,2739.331511,915.839844
telecom,LRA,mid,complex,5,regular05,D1,100,2.581305,331.505905,637.531250
telecom,LRA,mid,complex,5,regular05,D2,100,2.345620,1191.925256,743.500000
telecom,LRA,mid,complex,5,regular05,D3,100,4.909655,28.308322,579.234375
telecom,LRA,mid,complex,6,regular06,D1,100,2.334595,333.948028,637.687500
telecom,LRA,mid,complex,6,regular06,D2,100,4.652190,1292.944352,771.546875
telecom,LRA,mid,complex,6,regular06,D3,100,10.795885,27.008171,578.265625
telecom,LRA,mid,complex,7,regular07,D1,100,2.460750,368.684917,645.851562
telecom,LRA,mid,complex,7,regular07,D2,100,6.954680,1223.942650,757.339844
telecom,LRA,mid,complex,7,regular07,D3,100,2.457740,24.639777,578.234375
telecom,LRA,mid,complex,8,regular08,D1,100,4.755475,3078.178282,925.191406
telecom,LRA,mid,complex,8,regular08,D2,100,2.142615,1353.700697,732.996094
telecom,LRA,mid,complex,8,regular08,D3,100,4.403690,1636.023438,799.031250
telecom,LRA,mid,complex,9,regular09,D1,100,7.110754,364.121411,643.953125
telecom,LRA,mid,complex,9,regular09,D2,100,13.990364,1465.189623,800.164062
telecom,LRA,mid,complex,9,regular09,D3,100,3.420605,24.821942,577.527344
